Gene ID	SYMBOL	Fold Change(T/S)	q-value(%)	Component
209828_s_at	IL16	0.242	0.38	Stroma
202998_s_at	LOXL2	0.193	0.38	Stroma
209646_x_at	ALDH1B1	0.463	0.38	Stroma
213689_x_at	RPL5	0.252	0.38	Stroma
225604_s_at	C9orf19	0.392	0.38	Stroma
206943_at	TGFBR1	0.458	0.38	Stroma
225809_at	DKFZP564O08	0.416	0.38	Stroma
227792_at	LOC162073	0.432	0.38	Stroma
202391_at	BASP1	0.186	0.38	Stroma
205038_at	ZNFN1A1	0.398	0.38	Stroma
213381_at	C10orf72	0.298	0.38	Stroma
1554690_a_at	TACC1	0.243	0.38	Stroma
219452_at	DPEP2	0.223	0.38	Stroma
203799_at	CD302	0.205	0.38	Stroma
226459_at	PIK3AP1	0.276	0.38	Stroma
213170_at	GPX7	0.361	0.38	Stroma
220432_s_at	CYP39A1	0.333	0.38	Stroma
1565674_at	FCGR2A	0.289	0.38	Stroma
206925_at	ST8SIA4	0.322	0.38	Stroma
238356_at	DOCK11	0.182	0.38	Stroma
209550_at	NDN	0.141	0.38	Stroma
211991_s_at	HLA-DPA1	0.305	0.38	Stroma
215517_at	PYGO1	0.242	0.38	Stroma
225262_at	FOSL2	0.411	0.38	Stroma
203416_at	CD53	0.214	0.38	Stroma
203878_s_at	MMP11	0.214	0.38	Stroma
1555355_a_at	ETS1	0.321	0.38	Stroma
211161_s_at	COL3A1	0.168	0.38	Stroma
235306_at	GIMAP8	0.209	0.38	Stroma
209505_at	NR2F1	0.219	0.38	Stroma
205100_at	GFPT2	0.271	0.38	Stroma
206033_s_at	DSC3	0.277	0.38	Stroma
212970_at		0.316	0.38	Stroma
223440_at	C16orf70	0.367	0.38	Stroma
227427_at	GEFT	0.392	0.38	Stroma
212609_s_at	AKT3	0.354	0.38	Stroma
214825_at		0.379	0.38	Stroma
235834_at	CALD1	0.377	0.38	Stroma
229021_at		0.216	0.38	Stroma
223063_at	C1orf198	0.44	0.38	Stroma
220330_s_at	SAMSN1	0.249	0.38	Stroma
229800_at	DCAMKL1	0.188	0.38	Stroma
1554285_at	HAVCR2	0.419	0.38	Stroma
207276_at	CDR1	0.141	0.38	Stroma
213252_at	SH3PXD2A	0.196	0.38	Stroma
227649_s_at	SRGAP2	0.367	0.38	Stroma
202351_at	ITGAV	0.432	0.38	Stroma
217061_s_at	ETV1	0.217	0.38	Stroma
226058_at	MGC4655	0.43	0.38	Stroma
202498_s_at	SLC2A3	0.412	0.38	Stroma
229560_at	TLR8	0.217	0.38	Stroma
228904_at	HOXB3	0.253	0.38	Stroma
201215_at	PLS3	0.247	0.38	Stroma
212670_at	ELN	0.351	0.38	Stroma
229389_at	ATG16L2	0.472	0.38	Stroma
203320_at	LNK	0.327	0.38	Stroma
210261_at	KCNK2	0.294	0.38	Stroma
1555724_s_at	TAGLN	0.272	0.38	Stroma
217525_at	OLFML1	0.122	0.38	Stroma
226841_at	MPEG1	0.161	0.38	Stroma
232098_at	DST	0.171	0.38	Stroma
210612_s_at	SYNJ2	0.417	0.38	Stroma
241337_at		0.331	0.38	Stroma
227300_at	TMEM119	0.113	0.38	Stroma
219243_at	GIMAP4	0.242	0.38	Stroma
209712_at	SLC35D1	0.463	0.38	Stroma
201724_s_at	GALNT1	0.232	0.38	Stroma
1557961_s_at	LOC642730	0.264	0.38	Stroma
217147_s_at	TRAT1	0.241	0.38	Stroma
226828_s_at	HEYL	0.264	0.38	Stroma
205120_s_at	SGCB	0.29	0.38	Stroma
204112_s_at	HNMT	0.205	0.38	Stroma
203603_s_at	ZFHX1B	0.15	0.38	Stroma
205456_at	CD3E	0.444	0.38	Stroma
37512_at	HSD17B6	0.159	0.38	Stroma
219218_at	BAHCC1	0.429	0.38	Stroma
203881_s_at	DMD	0.418	0.38	Stroma
1555691_a_at	KLRC4 /// KLRK	0.244	0.38	Stroma
207826_s_at	ID3	0.344	0.38	Stroma
214255_at	ATP10A	0.376	0.38	Stroma
207542_s_at	AQP1	0.4	0.38	Stroma
1558643_s_at	EDIL3	0.21	0.38	Stroma
214085_x_at	GLIPR1	0.399	0.38	Stroma
1555812_a_at	ARHGDIB	0.389	0.38	Stroma
240460_at		0.275	0.75	Stroma
225626_at	PAG1	0.374	0.75	Stroma
211181_x_at	RUNX1	0.309	0.75	Stroma
206117_at	TPM1	0.438	0.75	Stroma
210843_s_at	MFAP3L	0.409	0.75	Stroma
218729_at	LXN	0.254	0.75	Stroma
222235_s_at	GALNACT-2 ///	0.385	0.75	Stroma
210657_s_at	4-Sep	0.285	0.75	Stroma
227168_at	FLJ25967	0.411	0.75	Stroma
1556698_a_at	LOC285513	0.213	0.75	Stroma
227570_at	TMEM86A	0.479	0.75	Stroma
203543_s_at	KLF9	0.386	0.75	Stroma
224794_s_at	CEECAM1	0.224	0.75	Stroma
223499_at	C1QTNF5	0.241	0.75	Stroma
213012_at	NEDD4	0.333	0.75	Stroma
219134_at	ELTD1	0.192	0.38	Stroma
205226_at	PDGFRL	0.172	0.38	Stroma
204083_s_at	TPM2	0.251	0.38	Stroma
235385_at		0.376	0.38	Stroma
218087_s_at	SORBS1	0.243	0.38	Stroma
228739_at	CYS1 /// LOC64982	0.172	0.38	Stroma
235227_at		0.372	0.38	Stroma
219432_at	EVC	0.363	0.38	Stroma
211990_at	HLA-DPA1	0.315	0.38	Stroma
209199_s_at	MEF2C	0.214	0.38	Stroma
235735_at	TNFSF8	0.265	0.38	Stroma
218345_at	HCA112	0.273	0.38	Stroma
204284_at	PPP1R3C	0.217	0.38	Stroma
201990_s_at	CREBL2	0.368	0.38	Stroma
212414_s_at	SEPT6 /// N-PAC	0.306	0.38	Stroma
212810_s_at	SLC1A4	0.339	0.38	Stroma
243362_s_at	LOC641518	0.406	0.38	Stroma
211902_x_at	TRA@	0.236	0.38	Stroma
212364_at	MYO1B	0.283	0.38	Stroma
244070_at	SYNE1	0.371	0.38	Stroma
220566_at	PIK3R5	0.468	0.38	Stroma
218627_at	FLJ11259	0.332	0.38	Stroma
205080_at	RARB	0.315	0.38	Stroma
205442_at	MFAP3L	0.355	0.38	Stroma
204560_at	FKBP5	0.432	0.38	Stroma
201280_s_at	DAB2	0.133	0.51	Stroma
235657_at		0.401	0.51	Stroma
205003_at	DOCK4	0.317	0.51	Stroma
1559005_s_at	C9orf39	0.431	0.51	Stroma
222908_at	FAM38B	0.298	0.51	Stroma
214702_at	FN1	0.267	0.51	Stroma
211719_x_at	FN1	0.224	0.51	Stroma
1556049_at	RTN4	0.439	0.51	Stroma
210946_at	PPAP2A	0.347	0.51	Stroma
217504_at	ABCA6	0.177	0.51	Stroma
226402_at	CYP2U1	0.278	0.51	Stroma
227873_at	C5orf14	0.454	0.51	Stroma
209318_x_at	PLAGL1	0.2	0.51	Stroma
230589_at		0.401	0.51	Stroma
205713_s_at	COMP	0.201	0.51	Stroma
204205_at	APOBEC3G	0.415	0.51	Stroma
223464_at	OSBPL5	0.322	0.51	Stroma
214068_at	BEAN	0.281	0.51	Stroma
223278_at	GJB2	0.133	0.51	Stroma
224837_at	FOXP1	0.315	0.51	Stroma
202008_s_at	NID1	0.136	0.51	Stroma
227870_at	NOPE	0.169	0.51	Stroma
204457_s_at	GAS1	0.15	0.51	Stroma
220532_s_at	LR8	0.22	0.51	Stroma
243342_at	ITPR2	0.438	0.51	Stroma
1554127_s_at	MSRB3	0.091	0.51	Stroma
217966_s_at	C1orf24	0.29	0.51	Stroma
202196_s_at	DKK3	0.154	0.51	Stroma
205798_at	IL7R	0.258	0.51	Stroma
230728_at		0.331	0.51	Stroma
201279_s_at	DAB2	0.142	0.51	Stroma
210616_s_at	SEC31L1	0.42	0.51	Stroma
221886_at	DENND2A	0.336	0.51	Stroma
43427_at	ACACB	0.43	0.51	Stroma
1553142_at	FLJ38725	0.362	0.51	Stroma
201559_s_at	CLIC4	0.43	0.51	Stroma
221510_s_at	GLS	0.386	0.51	Stroma
1558185_at	CLLU1	0.249	0.51	Stroma
203386_at	TBC1D4	0.404	0.51	Stroma
205821_at	KLRK1	0.308	0.51	Stroma
209183_s_at	C10orf10	0.346	0.51	Stroma
221207_s_at	NBEA	0.369	0.51	Stroma
219183_s_at	PSCD4	0.446	0.51	Stroma
210031_at	CD247	0.433	0.51	Stroma
1564139_at	LOC144571	0.387	0.51	Stroma
211620_x_at	RUNX1	0.287	0.51	Stroma
209392_at	ENPP2	0.183	0.51	Stroma
225664_at	COL12A1	0.224	0.51	Stroma
239201_at	ALS2CR7	0.282	0.51	Stroma
210042_s_at	CTSZ	0.408	0.51	Stroma
221898_at	PDPN	0.117	0.51	Stroma
216951_at	FCGR1A	0.368	0.51	Stroma
219393_s_at	AKT3	0.187	0.51	Stroma
53991_at	DENND2A	0.315	0.51	Stroma
227135_at		0.249	0.51	Stroma
1555536_at	ANTXR2	0.252	0.51	Stroma
212865_s_at	COL14A1	0.087	0.51	Stroma
220301_at	CCDC102B	0.304	0.51	Stroma
232617_at	CTSS	0.34	0.51	Stroma
227868_at	LOC154761	0.453	0.75	Stroma
204781_s_at	FAS	0.449	0.75	Stroma
221766_s_at	FAM46A	0.412	0.75	Stroma
229853_at	KAL1	0.291	0.75	Stroma
227447_at	SKIV2L2	0.428	0.75	Stroma
235311_at	FKBP14	0.308	0.75	Stroma
232203_at		0.434	0.75	Stroma
213908_at	WHDC1L1 /// WHDC	0.4	0.75	Stroma
239072_at		0.354	0.75	Stroma
212254_s_at	DST	0.13	0.75	Stroma
205501_at		0.173	0.75	Stroma
63305_at	PKNOX2	0.349	0.75	Stroma
201989_s_at	CREBL2	0.456	0.75	Stroma
220008_at	KIAA2002	0.492	0.75	Stroma
230550_at	MS4A6A	0.29	0.75	Stroma
1555628_a_at	HAVCR2	0.291	0.51	Stroma
216594_x_at	AKR1C1	0.48	0.51	Stroma
210997_at	HGF	0.252	0.51	Stroma
227381_at	CEECAM1	0.33	0.51	Stroma
210184_at	ITGAX	0.407	0.51	Stroma
1555275_a_at	KLHL6	0.331	0.51	Stroma
223095_at	MARVELD1	0.288	0.51	Stroma
221881_s_at	CLIC4	0.432	0.51	Stroma
1562234_a_at	NAV3 /// LOC652725	0.282	0.51	Stroma
225369_at	ESAM	0.272	0.51	Stroma
207050_at	CACNA2D1	0.438	0.51	Stroma
212012_at	PXDN	0.345	0.51	Stroma
213592_at	AGTRL1	0.141	0.51	Stroma
242500_at		0.256	0.51	Stroma
202627_s_at	SERPINE1	0.244	0.51	Stroma
1556314_a_at		0.31	0.51	Stroma
219087_at	ASPN	0.159	0.51	Stroma
205303_at	KCNJ8	0.15	0.51	Stroma
235301_at	KIAA1324L	0.336	0.51	Stroma
227178_at	CUGBP2	0.428	0.51	Stroma
209555_s_at	CD36	0.233	0.51	Stroma
205988_at	CD84	0.256	0.51	Stroma
209869_at	ADRA2A	0.251	0.51	Stroma
202878_s_at	CD93	0.179	0.51	Stroma
226568_at	FAM102B	0.451	0.51	Stroma
228167_at	KLHL6	0.334	0.51	Stroma
220974_x_at	SFXN3	0.423	0.51	Stroma
215806_x_at	TRGC2 /// TRGV2 ///	0.264	0.51	Stroma
231841_s_at	KIAA1462	0.273	0.51	Stroma
215081_at	KIAA1024	0.369	0.51	Stroma
229597_s_at	WDFY4	0.391	0.51	Stroma
211192_s_at	CD84	0.255	0.51	Stroma
203865_s_at	ADARB1	0.31	0.51	Stroma
1553768_a_at	DCBLD1	0.294	0.51	Stroma
235458_at	HAVCR2	0.344	0.51	Stroma
233607_at	BICC1	0.453	0.51	Stroma
208729_x_at	HLA-B	0.482	0.51	Stroma
204860_s_at	BIRC1 /// LOC64898	0.479	0.51	Stroma
1556499_s_at	COL1A1	0.258	0.51	Stroma
1561705_at	TTBK2	0.394	0.51	Stroma
204115_at	GNG11	0.163	0.51	Stroma
213661_at	DKFZP586H2123	0.238	0.51	Stroma
1564746_at	LOC133308	0.49	0.51	Stroma
1565818_s_at	ZNFN1A1	0.266	0.51	Stroma
1565890_at	C20orf82	0.234	0.51	Stroma
206991_s_at	CCR5 /// LOC653725	0.25	0.51	Stroma
219279_at	DOCK10	0.246	0.51	Stroma
204358_s_at	FLRT2	0.242	0.51	Stroma
212937_s_at	COL6A1	0.222	0.51	Stroma
204036_at	EDG2	0.214	0.51	Stroma
202192_s_at	GAS7	0.147	0.51	Stroma
212263_at	QKI	0.461	0.51	Stroma
201842_s_at	EFEMP1	0.125	0.51	Stroma
1554704_at	ATP8B3	0.334	0.51	Stroma
204563_at	SELL	0.305	0.51	Stroma
229626_at	LOC387856	0.427	0.51	Stroma
229686_at	P2RY8	0.272	0.51	Stroma
223620_at	GPR34	0.227	0.51	Stroma
219371_s_at	KLF2	0.231	0.51	Stroma
208561_at	ABCC9	0.109	0.51	Stroma
225173_at	ARHGAP18	0.332	0.51	Stroma
204527_at	MYO5A	0.443	0.51	Stroma
207002_s_at	PLAGL1	0.307	0.51	Stroma
201722_s_at	GALNT1	0.326	0.51	Stroma
203151_at	MAP1A	0.298	0.51	Stroma
231113_at	LAMA4	0.298	0.51	Stroma
208869_s_at	GABARAPL1	0.395	0.75	Stroma
203717_at	DPP4	0.415	0.75	Stroma
228365_at	CPNE8	0.248	0.75	Stroma
225562_at	RASA3	0.363	0.75	Stroma
230135_at		0.245	0.75	Stroma
230047_at	FLJ32810	0.167	0.75	Stroma
239027_at	DOCK8	0.409	0.75	Stroma
206858_s_at	HOXC6	0.269	0.75	Stroma
221030_s_at	ARHGAP24	0.305	0.75	Stroma
235061_at	PPM1K	0.36	0.75	Stroma
231038_s_at		0.22	0.75	Stroma
211645_x_at		0.145	0.75	Stroma
212822_at	HEG1	0.269	0.75	Stroma
226992_at	NOSTRIN	0.375	0.75	Stroma
224928_at	SETD7	0.225	0.75	Stroma
223501_at		0.294	0.75	Stroma
203922_s_at	CYBB	0.291	0.75	Stroma
205117_at	FGF1	0.25	0.75	Stroma
226697_at	LOC92689	0.325	1.01	Stroma
1552386_at	FLJ33641	0.318	1.01	Stroma
1559067_a_at		0.368	1.01	Stroma
222033_s_at	FLT1	0.3	1.01	Stroma
232446_at	MGC45800	0.355	1.01	Stroma
202827_s_at	MMP14	0.266	1.01	Stroma
219634_at	CHST11	0.352	1.01	Stroma
212998_x_at	HLA-DQB1	0.453	1.01	Stroma
226603_at	SAMD9L	0.389	1.01	Stroma
238002_at	GOLPH4	0.465	1.01	Stroma
223405_at	NPL	0.412	1.01	Stroma
211732_x_at	HNMT	0.365	1.01	Stroma
203837_at	MAP3K5	0.419	1.01	Stroma
206978_at	CCR2	0.304	1.01	Stroma
203579_s_at	SLC7A6	0.434	1.01	Stroma
213071_at	DPT	0.287	0.75	Stroma
229543_at		0.292	0.75	Stroma
235759_at		0.244	0.75	Stroma
227760_at	IGFBPL1	0.342	0.75	Stroma
1568943_at	INPP5D	0.385	0.75	Stroma
201041_s_at	DUSP1	0.244	0.75	Stroma
202822_at	LPP	0.483	0.75	Stroma
204489_s_at	CD44	0.33	0.75	Stroma
208010_s_at	PTPN22	0.459	0.75	Stroma
218589_at	P2RY5	0.216	0.75	Stroma
236646_at	C12orf59	0.336	0.75	Stroma
213982_s_at	RABGAP1L	0.432	0.75	Stroma
201497_x_at	MYH11	0.268	0.75	Stroma
205203_at	PLD1	0.493	0.75	Stroma
210664_s_at	TFPI	0.208	0.75	Stroma
219390_at	FKBP14	0.248	0.75	Stroma
209758_s_at	MFAP5	0.143	0.75	Stroma
203810_at	DNAJB4	0.276	0.75	Stroma
236488_s_at	LOC642711	0.275	0.75	Stroma
209933_s_at	CD300A	0.345	0.75	Stroma
220603_s_at	MCTP2	0.232	0.75	Stroma
223679_at	CTNNB1	0.481	0.75	Stroma
1554474_a_at	MOXD1	0.175	0.75	Stroma
238463_at		0.312	0.75	Stroma
227561_at	LOC651619	0.129	0.75	Stroma
233335_at		0.312	0.75	Stroma
214660_at	PELO	0.201	0.75	Stroma
228574_at	TMTC2	0.416	0.75	Stroma
231358_at		0.355	0.75	Stroma
213316_at	KIAA1462	0.206	0.75	Stroma
235076_at	CALCOCO2	0.452	0.75	Stroma
210852_s_at	AASS	0.245	0.75	Stroma
201124_at	ITGB5	0.222	0.75	Stroma
1568618_a_at	GALNT1	0.323	0.75	Stroma
238608_at	LAMB1	0.427	0.75	Stroma
218353_at	RGS5	0.207	0.75	Stroma
209612_s_at	ADH1B	0.243	0.75	Stroma
224952_at	TANC2	0.358	0.75	Stroma
204118_at	CD48	0.342	0.75	Stroma
210313_at	LILRA4	0.379	0.75	Stroma
226218_at		0.211	0.75	Stroma
232201_at	NKD2	0.413	0.75	Stroma
200911_s_at	TACC1	0.24	0.75	Stroma
232729_at		0.295	0.75	Stroma
200782_at	ANXA5	0.406	0.75	Stroma
209496_at	RARRES2	0.381	0.75	Stroma
230218_at		0.253	1.53	Stroma
225799_at	MGC4677 /// LO	0.325	1.53	Stroma
228869_at	SLIC1	0.375	1.53	Stroma
232724_at	MS4A6A	0.396	1.53	Stroma
228563_at	GJA7	0.363	1.53	Stroma
1565681_s_at	DIP2C	0.395	1.53	Stroma
203706_s_at	FZD7	0.31	1.53	Stroma
203485_at	RTN1	0.285	1.53	Stroma
225817_at	CGNL1	0.255	1.53	Stroma
235668_at	PRDM1	0.254	1.53	Stroma
219563_at	C14orf139	0.353	1.53	Stroma
232843_s_at	DOCK8	0.24	1.53	Stroma
219479_at	KDELC1	0.284	1.53	Stroma
232795_at		0.246	1.53	Stroma
206766_at	ITGA10	0.317	1.53	Stroma
226636_at	PLD1	0.354	1.53	Stroma
224583_at	COTL1	0.351	1.53	Stroma
227954_at	LOC162073	0.497	1.53	Stroma
230744_at		0.308	1.53	Stroma
227395_at		0.446	1.53	Stroma
203059_s_at	PAPSS2	0.301	1.53	Stroma
213422_s_at	MXRA8	0.233	1.53	Stroma
206796_at	WISP1	0.221	1.53	Stroma
205525_at	CALD1	0.489	1.53	Stroma
224339_s_at	ANGPTL1	0.303	1.53	Stroma
217890_s_at	PARVA	0.304	1.53	Stroma
201287_s_at	SDC1	0.326	1.53	Stroma
205755_at	ITIH3	0.32	1.53	Stroma
244455_at	KCNT2	0.192	1.53	Stroma
221511_x_at	CCPG1	0.333	1.53	Stroma
227313_at	MGC40499	0.466	1.53	Stroma
228532_at	C1orf162	0.295	1.53	Stroma
231721_at	JAM3	0.286	1.53	Stroma
203823_at	RGS3	0.425	1.53	Stroma
227785_at	SDCCAG8	0.383	1.53	Stroma
1552584_at	IL12RB1	0.288	1.53	Stroma
219367_s_at	NRP2	0.237	1.53	Stroma
201743_at	CD14	0.402	1.53	Stroma
210089_s_at	LAMA4	0.363	1.53	Stroma
225258_at	FBLIM1	0.48	1.53	Stroma
214632_at	NRP2	0.276	1.53	Stroma
213306_at	MPDZ	0.305	1.53	Stroma
210170_at	PDLIM3	0.308	1.53	Stroma
223391_at	SGPP1	0.321	1.53	Stroma
1552365_at	SCIN	0.334	1.53	Stroma
1568820_a_at	C6orf65	0.285	1.53	Stroma
213869_x_at	THY1	0.286	1.53	Stroma
211892_s_at	PTGIS	0.178	1.53	Stroma
201723_s_at	GALNT1	0.322	1.53	Stroma
230311_s_at	PRDM6	0.378	1.53	Stroma
201957_at	PPP1R12B	0.374	1.53	Stroma
208669_s_at	CRI1	0.449	1.53	Stroma
213406_at	WSB1	0.499	1.53	Stroma
220580_at	BICC1	0.486	1.01	Stroma
227856_at	FLJ39370	0.314	1.01	Stroma
226794_at	STXBP5	0.407	1.01	Stroma
215775_at	THBS1	0.341	1.01	Stroma
238906_s_at	RHOJ	0.344	1.01	Stroma
212503_s_at	DIP2C	0.318	1.01	Stroma
230264_s_at	AP1S2	0.4	1.01	Stroma
209614_at	ADH1A /// ADH1B //	0.304	1.01	Stroma
233485_at	DDAH1	0.352	1.01	Stroma
240317_at	PCDHB4	0.405	1.01	Stroma
222719_s_at	PDGFC	0.318	1.01	Stroma
226646_at	KLF2	0.392	1.01	Stroma
204556_s_at	DZIP1	0.4	1.01	Stroma
208562_s_at	ABCC9	0.288	1.01	Stroma
1558397_at		0.359	1.01	Stroma
203139_at	DAPK1	0.409	1.01	Stroma
218694_at	ARMCX1	0.431	1.01	Stroma
211663_x_at	PTGDS	0.484	1.01	Stroma
224942_at	PAPPA	0.453	1.01	Stroma
227897_at	RAP2B	0.472	1.01	Stroma
206337_at	CCR7	0.375	1.01	Stroma
204058_at	ME1	0.371	1.01	Stroma
203879_at	PIK3CD	0.464	1.01	Stroma
233814_at		0.418	1.01	Stroma
201719_s_at	EPB41L2	0.49	1.01	Stroma
211796_s_at	TRBV21-1 /// TRBV	0.223	1.01	Stroma
204920_at	CPS1	0.324	1.01	Stroma
208885_at	LCP1	0.448	1.01	Stroma
204254_s_at	VDR	0.282	1.01	Stroma
211981_at	COL4A1	0.239	1.01	Stroma
211190_x_at	CD84	0.372	1.01	Stroma
228504_at		0.145	1.01	Stroma
219584_at	PLA1A	0.463	1.01	Stroma
206331_at	CALCRL	0.281	1.01	Stroma
231793_s_at	CAMK2D	0.386	1.01	Stroma
221024_s_at	SLC2A10	0.369	1.01	Stroma
236029_at	FAT3	0.3	1.01	Stroma
226865_at		0.349	1.01	Stroma
220356_at	CORIN	0.256	1.01	Stroma
209596_at	MXRA5	0.474	1.01	Stroma
217192_s_at	PRDM1	0.41	1.01	Stroma
209360_s_at	RUNX1	0.283	1.01	Stroma
211911_x_at	HLA-B	0.462	1.01	Stroma
231396_s_at	DRCTNNB1A	0.357	1.01	Stroma
201162_at	IGFBP7	0.246	1.01	Stroma
228362_s_at	RP1-93H18.5	0.42	1.01	Stroma
213543_at		0.343	2.29	Stroma
232543_x_at	ARHGAP9	0.409	2.29	Stroma
223218_s_at	NFKBIZ	0.416	2.29	Stroma
214390_s_at	BCAT1	0.33	2.29	Stroma
232080_at	HECW2	0.289	2.29	Stroma
206251_s_at	AVPR1A	0.447	2.29	Stroma
228080_at	LAYN	0.381	2.29	Stroma
228728_at	FLJ21986	0.286	2.29	Stroma
222494_at	CHES1	0.472	2.29	Stroma
1555486_a_at	FLJ14213	0.479	2.29	Stroma
232636_at	SLITRK4	0.248	2.29	Stroma
226002_at		0.482	2.29	Stroma
217418_x_at	MS4A1	0.452	2.29	Stroma
226490_at	NHSL1	0.471	2.29	Stroma
221957_at	PDK3	0.478	2.29	Stroma
1557374_at	ABCC9	0.443	2.29	Stroma
219527_at	MOSC2	0.482	2.29	Stroma
214688_at	TLE4	0.404	2.29	Stroma
222455_s_at	PARVA	0.351	2.29	Stroma
1405_i_at	CCL5	0.221	2.29	Stroma
203889_at	SCG5	0.373	2.29	Stroma
206232_s_at	B4GALT6	0.491	2.29	Stroma
225968_at	PRICKLE2	0.341	2.29	Stroma
242230_at	ATXN1	0.434	2.29	Stroma
211189_x_at	CD84	0.431	2.29	Stroma
1557523_at	LOC92270	0.346	2.29	Stroma
225946_at	RASSF8	0.388	2.29	Stroma
219165_at	PDLIM2	0.399	2.29	Stroma
243356_at	FAM7A1	0.407	2.29	Stroma
214151_s_at	CCPG1	0.454	2.29	Stroma
227038_at	MGC26963	0.326	2.29	Stroma
204235_s_at	GULP1	0.272	2.29	Stroma
201564_s_at	FSCN1	0.375	2.29	Stroma
211825_s_at	FLI1	0.351	2.29	Stroma
210916_s_at	CD44	0.423	2.29	Stroma
233500_x_at	CLEC2D	0.414	2.29	Stroma
242965_at	GALK2	0.464	2.29	Stroma
204951_at	RHOH	0.297	2.29	Stroma
1556935_at	LAMA4	0.494	2.29	Stroma
216213_at	NEK1	0.404	2.29	Stroma
216236_s_at	SLC2A3	0.306	2.29	Stroma
244788_at		0.492	2.29	Stroma
211698_at	CRI1	0.477	2.29	Stroma
215384_s_at	MAP1A	0.426	2.29	Stroma
209765_at	ADAM19	0.222	2.29	Stroma
221213_s_at	SUHW4	0.499	2.29	Stroma
223750_s_at	TLR10	0.47	2.29	Stroma
218181_s_at	MAP4K4	0.463	2.29	Stroma
230206_at	DOCK5	0.487	2.29	Stroma
240115_at	PPM1F	0.462	2.29	Stroma
238447_at	RBMS3	0.454	2.29	Stroma
244434_at		0.382	2.29	Stroma
205290_s_at	BMP2	0.398	2.29	Stroma
232311_at	B2M	0.478	1.53	Stroma
218638_s_at	SPON2	0.325	1.53	Stroma
202375_at	SEC24D	0.362	1.53	Stroma
228490_at	ABHD2	0.463	1.53	Stroma
201525_at	APOD	0.175	1.53	Stroma
208454_s_at	PGCP	0.365	1.53	Stroma
225450_at	AMOTL1	0.375	1.53	Stroma
226621_at		0.43	1.53	Stroma
210380_s_at	CACNA1G	0.469	1.53	Stroma
202497_x_at	SLC2A3	0.324	1.53	Stroma
241652_x_at	LIN7A	0.363	1.53	Stroma
207057_at	SLC16A7	0.23	1.53	Stroma
219117_s_at	FKBP11	0.413	1.53	Stroma
222156_x_at	CCPG1	0.376	1.53	Stroma
204201_s_at	PTPN13	0.376	1.53	Stroma
228628_at		0.431	1.53	Stroma
207651_at	GPR171	0.332	1.53	Stroma
231980_at	CD226	0.388	1.53	Stroma
204057_at	IRF8	0.324	1.53	Stroma
205968_at	KCNS3	0.343	1.53	Stroma
223553_s_at	DOK3	0.378	1.53	Stroma
228617_at	BIRC4BP	0.425	1.53	Stroma
230333_at	SAT	0.427	1.53	Stroma
242340_at		0.297	1.53	Stroma
209119_x_at	NR2F2	0.311	1.53	Stroma
221994_at	PDLIM5	0.465	1.53	Stroma
225812_at	LOC619208	0.454	1.53	Stroma
213800_at	CFH	0.162	1.53	Stroma
203354_s_at	PSD3	0.347	1.53	Stroma
224197_s_at	C1QTNF1	0.392	1.53	Stroma
1555137_a_at	FGD6	0.329	1.53	Stroma
212741_at	MAOA	0.451	1.53	Stroma
208944_at	TGFBR2	0.49	1.53	Stroma
205383_s_at	ZBTB20	0.468	1.53	Stroma
211926_s_at	MYH9	0.466	1.53	Stroma
206363_at	MAF	0.273	1.53	Stroma
238581_at	GBP5	0.435	1.53	Stroma
213541_s_at	ERG	0.284	1.53	Stroma
215633_x_at	LST1	0.445	1.53	Stroma
207943_x_at	PLAGL1	0.335	1.53	Stroma
229768_at	OR51E1	0.323	1.53	Stroma
232574_at	XYLT1	0.398	1.53	Stroma
205051_s_at	KIT	0.312	1.53	Stroma
1554574_a_at	CYB5R3	0.455	1.53	Stroma
206341_at	IL2RA	0.406	1.53	Stroma
206580_s_at	EFEMP2	0.496	1.53	Stroma
226342_at	SPTBN1	0.317	2.29	Stroma
217148_x_at	IGLV2-14	0.33	2.29	Stroma
219210_s_at	RAB8B	0.471	2.29	Stroma
217409_at	MYO5A	0.462	2.29	Stroma
205280_at	GLRB	0.483	2.29	Stroma
206761_at	CD96	0.402	2.29	Stroma
235277_at	AMOTL1	0.438	2.29	Stroma
229287_at		0.464	2.29	Stroma
1553027_a_at	KLHL4	0.447	2.29	Stroma
202988_s_at	RGS1	0.445	2.29	Stroma
208096_s_at	COL21A1	0.339	2.29	Stroma
205523_at	HAPLN1	0.344	2.29	Stroma
219761_at	CLEC1A	0.354	2.29	Stroma
206726_at	PGDS	0.447	2.29	Stroma
210439_at	ICOS	0.455	2.29	Stroma
205404_at	HSD11B1	0.411	2.29	Stroma
229055_at	GPR68	0.394	2.29	Stroma
214021_x_at	ITGB5	0.387	2.29	Stroma
226065_at	PRICKLE1	0.464	2.29	Stroma
220272_at	BNC2	0.413	2.29	Stroma
224722_at	MIB1	0.427	2.29	Stroma
218802_at	CCDC109B	0.481	2.29	Stroma
224543_at	SVEP1	0.371	2.29	Stroma
205094_at	PEX12	0.488	2.29	Stroma
213603_s_at	RAC2	0.448	2.29	Stroma
212736_at	C16orf45	0.439	2.29	Stroma
215214_at	IGL@	0.34	2.29	Stroma
211641_x_at		0.325	2.29	Stroma
201117_s_at	CPE	0.293	2.29	Stroma
210990_s_at	LAMA4	0.452	2.29	Stroma
